Timeslice,TaxUnit,Region,Site,ShortImageRef,ToolClass,KnappingDirection,IMAGE,ARTEFACTNAME,SCALE,Timeslice_range_from,Timeslice_range_to,Long,Lat,length_cm,width_cm,area_cm2,perimeter_cm,calliper_cm,circularity,eccentricityeigen,AD,BC,amp,sym,Timeslice_discrete
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_1_pseudo_no_1,0.013158,1,1,18.740335,47.785698,11.42,2.36,15.94,24.25,11.42,2,0.05,0.16830546738485297,2.1325384662844495,2.3008439336693027,0.07314944960932031,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_1,0.013966,1,1,18.740335,47.785698,6.23,1.56,6.88,13.54,6.23,2.32,0.09,0.5136245764891568,2.1189551177374737,2.6325796942266306,0.19510314449950342,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_2,0.013966,1,1,18.740335,47.785698,6.36,1.15,5.86,13.84,6.36,2.08,0.06,0.4187767162690801,2.0263954721662514,2.4451721884353312,0.1712667591467478,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_3,0.013966,1,1,18.740335,47.785698,5.53,1.64,7.25,12.7,5.53,2.51,0.13,0.2133081511852801,2.1848595946366696,2.3981677458219495,0.088946301424036,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_4,0.013966,1,1,18.740335,47.785698,3.96,0.87,2.11,8.59,3.96,2.03,0.05,0.24671752206096834,2.134309373587567,2.381026895648535,0.10361811641517318,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_5,0.013966,1,1,18.740335,47.785698,2.51,1.11,2.32,6.39,2.52,3.27,0.26,0.5164409982550511,2.171061246093364,2.6875022443484147,0.19216393189664566,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,D,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_d_2_pseudo_no_6,0.013966,1,1,18.740335,47.785698,2.23,0.83,1.47,5.54,2.23,2.83,0.19,0.9368463814806222,2.097724331130056,3.0345707126106785,0.30872451829426695,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_1,0.009141,1,1,18.740335,47.785698,6.7,1.47,7.41,14.6,6.71,2.23,0.08,0.09583278642443867,2.163034206732433,2.2588669931568717,0.042425156821875504,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_2,0.009141,1,1,18.740335,47.785698,2.93,1.13,2.49,6.99,2.95,2.89,0.2,0.6454807009531213,2.190644783800147,2.836125484753268,0.22759243355879774,1
1,LEpigrav,ASH,Esztergom,Lengyel20082009,AR,NA,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1,TS0_LEpigrav_ASH_Esztergom_Lengyel20082009_AR_na_1_pseudo_no_3,0.009141,1,1,18.740335,47.785698,3.07,0.82,1.78,6.95,3.09,2.3,0.09,0.62488295285974,2.1441652965509554,2.7690482494106954,0.2256670511222499,1
